,Date,Time,DewPointC,DewPointF,FeelsLikeC,FeelsLikeF,WindChillC,WindChillF,WindGustKmph,WindGustMiles,Cloud_Cover,humidity,PrecipMM,Pressure,TempC,TempF,Visibility,WeatherDesc,Wind_Dir_16_Point,Wind_Dir_Degree,WindSpeedKmph,WindSpeedMiles
0,2016-04-01,0,14,57,15,60,15,60,42,26,100,92,0.0,1009,15,60,10,Overcast,S,176,26,16
1,2016-04-01,100,14,58,15,60,15,60,40,25,100,92,0.1,1009,15,60,10,Overcast,S,177,25,15
2,2016-04-01,200,14,58,15,60,15,60,38,24,100,93,0.1,1008,15,60,10,Patchy rain possible,S,178,23,15
3,2016-04-01,300,14,58,15,60,15,60,36,22,100,94,0.2,1007,15,60,10,Patchy rain possible,S,179,22,14
4,2016-04-01,400,14,58,15,60,15,60,35,22,100,93,0.4,1007,15,60,10,Patchy rain possible,S,179,21,13
5,2016-04-01,500,15,58,16,60,16,60,34,21,100,93,0.6,1006,16,60,10,Light rain shower,S,179,21,13
6,2016-04-01,600,15,58,16,60,16,60,32,20,100,92,0.7,1006,16,60,10,Light rain shower,S,179,20,13
7,2016-04-01,700,15,59,16,61,16,61,32,20,100,92,0.9,1005,16,61,10,Light rain shower,S,179,20,13
8,2016-04-01,800,15,59,16,61,16,61,32,20,100,91,1.1,1005,17,62,10,Light rain shower,S,178,20,13
9,2016-04-01,900,15,59,16,62,16,62,31,19,100,91,1.2,1004,17,62,10,Light rain shower,S,178,21,13
10,2016-04-01,1000,15,59,17,63,17,63,31,19,95,88,1.0,1004,18,64,10,Light rain shower,S,181,21,13
11,2016-04-01,1100,15,60,18,64,18,64,30,19,91,86,0.8,1003,19,66,9,Light rain,S,184,21,13
12,2016-04-01,1200,16,60,19,65,19,65,30,18,86,83,0.6,1002,20,68,9,Light rain,S,188,22,14
13,2016-04-01,1300,16,60,20,68,20,68,29,18,71,78,0.5,1002,21,70,9,Light rain,SSW,194,22,14
14,2016-04-01,1400,16,60,23,73,21,70,29,18,57,72,0.4,1001,22,72,10,Patchy rain possible,SSW,200,23,14
15,2016-04-01,1500,16,61,25,76,22,72,29,18,42,67,0.3,1001,24,75,10,Patchy rain possible,SSW,207,23,15
16,2016-04-01,1600,16,61,25,77,23,73,30,18,41,66,0.4,1000,24,74,10,Patchy rain possible,SSW,206,23,14
17,2016-04-01,1700,16,60,25,77,23,73,30,19,39,65,0.5,1000,24,74,9,Patchy rain possible,SSW,206,22,14
18,2016-04-01,1800,16,60,25,77,23,73,31,19,38,65,0.5,1000,23,74,9,Patchy rain possible,SSW,205,22,13
19,2016-04-01,1900,15,60,24,76,22,72,32,20,58,66,0.4,1000,23,73,10,Patchy rain possible,SSW,213,21,13
20,2016-04-01,2000,15,59,22,71,22,71,32,20,78,67,0.2,1001,22,71,10,Overcast,SW,220,20,13
21,2016-04-01,2100,15,59,21,70,21,70,33,20,98,69,0.0,1001,21,70,10,Overcast,SW,228,19,12
22,2016-04-01,2200,14,56,20,68,20,68,30,18,95,66,0.0,1002,20,68,10,Overcast,WSW,242,18,11
23,2016-04-01,2300,12,54,20,67,20,67,27,16,91,62,0.0,1003,20,67,10,Overcast,WSW,257,16,10
24,2016-04-02,0,11,51,19,66,19,66,23,15,88,59,0.0,1003,19,66,10,Overcast,W,271,14,9
25,2016-04-02,100,10,50,18,64,18,64,20,12,81,61,0.0,1004,18,64,10,Overcast,WSW,248,12,8
26,2016-04-02,200,10,50,17,62,17,62,16,10,75,64,0.0,1004,17,62,10,Cloudy,SW,225,10,6
27,2016-04-02,300,10,49,16,60,16,60,12,8,68,66,0.0,1004,16,61,10,Cloudy,SSW,201,9,5
28,2016-04-02,400,10,49,14,58,14,58,13,8,70,71,0.0,1004,15,59,10,Cloudy,SE,144,9,6
29,2016-04-02,500,10,49,13,55,13,55,13,8,72,76,0.0,1004,14,57,10,Partly cloudy,E,87,10,6
30,2016-04-02,600,10,49,12,53,12,53,14,9,73,81,0.0,1004,13,55,10,Partly cloudy,NNE,30,10,6
31,2016-04-02,700,9,49,11,52,11,52,13,8,82,82,0.6,1004,12,54,10,Partly cloudy,NE,51,10,6
32,2016-04-02,800,9,48,11,52,11,52,13,8,91,83,1.2,1003,12,54,9,Patchy rain possible,ENE,71,10,6
33,2016-04-02,900,9,48,11,51,11,51,12,8,100,83,1.8,1003,12,53,9,Patchy rain possible,E,91,9,6
34,2016-04-02,1000,8,47,10,50,10,50,13,8,100,83,3.0,1002,11,52,8,Patchy rain possible,ESE,116,10,6
35,2016-04-02,1100,8,46,9,49,9,49,14,9,100,84,4.1,1001,11,52,8,Moderate rain,SE,142,11,7
36,2016-04-02,1200,8,46,9,47,9,47,15,9,100,84,5.3,1001,10,51,7,Moderate rain,SSE,167,12,8
37,2016-04-02,1300,7,45,9,47,9,47,18,11,100,81,4.8,999,11,51,7,Moderate rain,S,182,14,9
38,2016-04-02,1400,7,44,8,47,8,47,20,13,100,78,4.3,998,11,51,8,Moderate rain,SSW,197,16,10
39,2016-04-02,1500,6,43,8,47,8,47,23,14,100,75,3.7,997,11,52,8,Moderate rain,SSW,212,18,11
40,2016-04-02,1600,6,43,9,48,9,48,24,15,94,72,2.6,996,11,52,9,Moderate rain,SW,217,19,12
41,2016-04-02,1700,6,43,9,49,9,49,25,16,88,70,1.4,996,12,53,9,Light rain shower,SW,222,19,12
42,2016-04-02,1800,6,43,10,49,10,49,27,17,82,68,0.2,995,12,54,10,Light rain shower,SW,227,20,12
43,2016-04-02,1900,6,42,9,49,9,49,24,15,65,66,0.2,996,11,52,10,Light rain shower,SW,225,17,11
44,2016-04-02,2000,5,42,9,48,9,48,20,13,48,65,0.2,996,11,51,9,Patchy rain possible,SW,223,14,9
45,2016-04-02,2100,5,41,9,47,9,47,17,11,31,64,0.1,996,10,50,9,Patchy rain possible,SW,221,11,7
46,2016-04-02,2200,6,42,8,46,8,46,16,10,32,68,0.1,995,9,48,10,Patchy rain possible,SSW,208,11,7
47,2016-04-02,2300,6,43,7,45,7,45,15,9,33,71,0.1,995,8,47,10,Clear,SSW,194,10,6
48,2016-04-03,0,6,44,6,44,6,44,14,9,34,75,0.1,994,7,45,10,Clear,S,180,10,6
