,Date,Time,DewPointC,DewPointF,FeelsLikeC,FeelsLikeF,WindChillC,WindChillF,WindGustKmph,WindGustMiles,Cloud_Cover,humidity,PrecipMM,Pressure,TempC,TempF,Visibility,WeatherDesc,Wind_Dir_16_Point,Wind_Dir_Degree,WindSpeedKmph,WindSpeedMiles
0,2016-02-01,0,4,39,2,35,2,35,14,9,100,100,0.1,1012,4,39,0,Fog,SW,225,9,5
1,2016-02-01,100,4,39,1,34,1,34,16,10,100,100,0.1,1011,4,39,0,Fog,SW,223,10,6
2,2016-02-01,200,3,38,0,33,0,33,18,11,100,100,0.1,1010,3,38,0,Fog,SW,221,11,7
3,2016-02-01,300,3,37,0,31,0,31,20,13,100,100,0.1,1009,3,37,1,Fog,SW,219,12,7
4,2016-02-01,400,3,38,0,32,0,32,21,13,100,100,0.1,1009,3,38,2,Fog,SW,218,13,8
5,2016-02-01,500,3,38,0,32,0,32,22,14,100,99,0.1,1009,4,39,3,Light drizzle,SW,217,13,8
6,2016-02-01,600,4,39,1,33,1,33,23,14,100,99,0.1,1009,4,39,5,Light drizzle,SW,216,14,9
7,2016-02-01,700,4,39,1,33,1,33,23,15,100,99,0.1,1009,5,40,6,Light drizzle,SW,218,14,9
8,2016-02-01,800,4,39,1,34,1,34,24,15,100,99,0.0,1009,5,41,8,Overcast,SW,220,15,9
9,2016-02-01,900,4,40,1,34,1,34,24,15,100,99,0.0,1010,5,42,10,Overcast,SW,222,15,9
10,2016-02-01,1000,5,41,2,35,2,35,23,14,100,99,0.0,1010,6,42,10,Overcast,SW,230,15,9
11,2016-02-01,1100,5,41,2,36,2,36,22,13,100,98,0.0,1011,6,43,10,Overcast,WSW,237,15,9
12,2016-02-01,1200,6,42,3,37,3,37,21,13,100,98,0.0,1011,7,44,10,Overcast,WSW,245,14,9
13,2016-02-01,1300,6,43,4,39,4,39,19,12,96,96,0.0,1011,7,45,10,Overcast,WSW,254,14,8
14,2016-02-01,1400,7,44,5,41,5,41,17,11,92,95,0.0,1012,8,47,10,Overcast,W,264,13,8
15,2016-02-01,1500,7,45,6,43,6,43,16,10,88,94,0.0,1012,9,48,10,Overcast,W,273,12,7
16,2016-02-01,1600,7,44,7,44,7,44,15,9,84,91,0.0,1012,9,48,10,Overcast,WNW,282,11,7
17,2016-02-01,1700,7,44,7,45,7,45,14,9,80,88,0.0,1013,9,48,10,Cloudy,WNW,290,10,6
18,2016-02-01,1800,7,44,8,46,8,46,13,8,75,85,0.0,1014,9,49,10,Cloudy,WNW,298,10,6
19,2016-02-01,1900,5,42,7,45,7,45,13,8,83,82,0.0,1015,9,48,10,Cloudy,WNW,302,9,6
20,2016-02-01,2000,4,40,7,44,7,44,12,8,91,79,0.1,1016,8,47,10,Patchy rain possible,NW,306,9,5
21,2016-02-01,2100,3,38,6,43,6,43,12,7,98,75,0.1,1017,8,46,10,Patchy rain possible,NW,310,8,5
22,2016-02-01,2200,3,38,6,42,6,42,12,8,87,76,0.0,1018,7,45,10,Patchy rain possible,NW,320,8,5
23,2016-02-01,2300,3,37,5,41,5,41,13,8,75,76,0.0,1018,7,44,10,Overcast,NNW,331,9,6
24,2016-02-02,0,3,37,4,40,4,40,14,9,63,76,0.0,1019,6,43,10,Overcast,NNW,341,9,6
25,2016-02-02,100,2,36,4,40,4,40,13,8,42,75,0.0,1020,6,43,10,Overcast,NNW,340,9,6
26,2016-02-02,200,2,36,4,40,4,40,12,7,21,75,0.0,1020,6,43,10,Clear,NNW,338,9,6
27,2016-02-02,300,2,36,5,40,5,40,10,6,0,74,0.0,1021,6,44,10,Clear,NNW,337,9,6
28,2016-02-02,400,2,35,4,39,4,39,10,6,0,75,0.0,1022,6,43,10,Clear,NNW,336,9,5
29,2016-02-02,500,2,35,4,39,4,39,9,6,0,76,0.0,1022,6,42,10,Clear,NNW,335,8,5
30,2016-02-02,600,1,34,3,38,3,38,9,5,0,77,0.0,1023,5,41,10,Clear,NNW,334,8,5
31,2016-02-02,700,1,35,3,38,3,38,8,5,0,79,0.0,1024,5,41,10,Sunny,NNW,334,7,4
32,2016-02-02,800,2,35,3,37,3,37,8,5,0,81,0.0,1024,5,41,10,Sunny,NNW,333,7,4
33,2016-02-02,900,2,35,3,37,3,37,8,5,0,83,0.0,1025,5,41,10,Sunny,NNW,333,6,4
34,2016-02-02,1000,2,36,4,39,4,39,7,5,0,83,0.0,1026,6,42,10,Sunny,NNW,336,6,4
35,2016-02-02,1100,3,37,5,40,5,40,7,5,0,83,0.0,1027,6,43,10,Sunny,NNW,339,6,4
36,2016-02-02,1200,4,39,5,42,5,42,7,4,0,82,0.0,1028,7,45,10,Sunny,NNW,341,6,4
37,2016-02-02,1300,4,40,7,44,7,44,7,4,0,80,0.0,1028,8,47,10,Sunny,NW,315,6,4
38,2016-02-02,1400,5,41,8,47,8,47,6,4,0,78,0.0,1028,10,49,10,Sunny,WNW,289,5,3
