,Date,Time,DewPointC,DewPointF,FeelsLikeC,FeelsLikeF,WindChillC,WindChillF,WindGustKmph,WindGustMiles,Cloud_Cover,humidity,PrecipMM,Pressure,TempC,TempF,Visibility,WeatherDesc,Wind_Dir_16_Point,Wind_Dir_Degree,WindSpeedKmph,WindSpeedMiles
0,2016-01-01,0,1,34,0,32,0,32,18,11,92,86,0.0,1021,3,38,10,Overcast,WNW,289,13,8
1,2016-01-01,100,2,35,1,33,1,33,17,11,89,88,0.0,1020,3,38,9,Overcast,WNW,287,12,7
2,2016-01-01,200,2,36,1,34,1,34,16,10,87,90,0.0,1019,4,39,8,Cloudy,WNW,285,10,6
3,2016-01-01,300,3,37,1,35,1,35,14,9,84,93,0.0,1019,4,39,7,Cloudy,WNW,283,9,6
4,2016-01-01,400,3,37,1,34,1,34,15,9,87,93,0.0,1019,4,38,6,Cloudy,WNW,283,9,6
5,2016-01-01,500,2,36,1,33,1,33,15,9,91,94,0.0,1019,3,38,6,Mist,WNW,284,10,6
6,2016-01-01,600,2,36,1,33,1,33,15,9,94,94,0.0,1018,3,38,5,Mist,WNW,284,10,6
7,2016-01-01,700,2,36,1,33,1,33,14,9,81,92,0.0,1018,3,38,6,Mist,W,279,10,6
8,2016-01-01,800,2,35,1,33,1,33,14,8,68,91,0.0,1018,4,38,8,Cloudy,W,275,10,6
9,2016-01-01,900,2,35,1,34,1,34,13,8,55,89,0.0,1018,4,39,10,Cloudy,W,270,10,6
10,2016-01-01,1000,1,35,1,34,1,34,14,9,36,85,0.0,1018,4,40,10,Cloudy,W,264,11,7
11,2016-01-01,1100,1,34,1,34,1,34,16,10,18,81,0.0,1018,5,40,10,Sunny,WSW,258,13,8
12,2016-01-01,1200,1,34,1,35,1,35,17,11,0,77,0.0,1018,5,41,10,Sunny,WSW,252,15,9
13,2016-01-01,1300,1,33,1,34,1,34,19,12,0,75,0.0,1017,5,41,10,Sunny,WSW,252,16,10
14,2016-01-01,1400,0,32,1,33,1,33,21,13,0,73,0.0,1016,5,41,10,Sunny,WSW,252,17,11
15,2016-01-01,1500,0,31,0,33,0,33,23,14,1,71,0.0,1016,5,41,10,Sunny,WSW,252,18,11
16,2016-01-01,1600,-1,31,0,31,0,31,25,16,0,73,0.0,1015,4,39,10,Sunny,WSW,253,19,12
17,2016-01-01,1700,-1,30,-1,30,-1,30,27,17,0,75,0.0,1015,3,38,10,Clear,WSW,254,19,12
18,2016-01-01,1800,-1,30,-2,28,-2,28,29,18,0,77,0.0,1015,3,37,10,Clear,WSW,256,19,12
19,2016-01-01,1900,-1,30,-3,27,-3,27,28,17,0,80,0.0,1016,2,36,10,Clear,WSW,259,18,11
20,2016-01-01,2000,-1,30,-3,27,-3,27,26,16,0,83,0.0,1016,2,35,10,Clear,W,262,18,11
21,2016-01-01,2100,-1,30,-3,26,-3,26,25,16,1,86,0.0,1017,1,34,10,Clear,W,265,17,10
22,2016-01-01,2200,-1,30,-4,25,-4,25,24,15,1,87,0.0,1017,1,33,10,Clear,W,264,16,10
23,2016-01-01,2300,-1,30,-4,25,-4,25,23,14,1,88,0.0,1017,0,33,10,Clear,W,263,15,10
24,2016-01-02,0,-2,29,-4,24,-4,24,22,13,1,89,0.0,1017,0,32,10,Clear,W,263,15,9
25,2016-01-02,100,-2,29,-5,23,-5,23,23,14,1,90,0.0,1017,0,32,10,Clear,W,260,15,9
26,2016-01-02,200,-2,29,-5,22,-5,22,24,15,0,91,0.0,1017,-1,31,10,Clear,WSW,258,15,10
27,2016-01-02,300,-2,28,-6,21,-6,21,25,15,0,93,0.0,1017,-1,30,10,Clear,WSW,256,16,10
28,2016-01-02,400,-2,28,-6,22,-6,22,23,14,0,94,0.0,1017,-1,30,9,Clear,WSW,258,15,9
29,2016-01-02,500,-2,29,-6,22,-6,22,21,13,0,95,0.0,1017,-1,30,8,Clear,W,259,14,9
30,2016-01-02,600,-2,29,-6,22,-6,22,20,12,0,96,0.0,1018,-1,30,7,Clear,W,261,13,8
