,Date,Time,DewPointC,DewPointF,FeelsLikeC,FeelsLikeF,WindChillC,WindChillF,WindGustKmph,WindGustMiles,Cloud_Cover,humidity,PrecipMM,Pressure,TempC,TempF,Visibility,WeatherDesc,Wind_Dir_16_Point,Wind_Dir_Degree,WindSpeedKmph,WindSpeedMiles
0,2016-06-01,0,19,67,25,78,24,76,7,4,35,75,1.4,1016,24,76,9,Clear,NNE,31,6,4
1,2016-06-01,100,19,66,23,74,23,73,9,6,56,82,3.4,1016,23,73,8,Clear,NE,47,7,4
2,2016-06-01,200,19,66,21,70,21,70,11,7,78,89,5.5,1016,21,70,7,Moderate rain,ENE,64,8,5
3,2016-06-01,300,19,65,19,67,19,67,13,8,100,96,7.5,1017,19,67,6,Moderate rain,E,80,9,5
4,2016-06-01,400,19,65,20,67,20,67,12,7,90,95,8.1,1017,20,67,6,Moderate rain,ENE,75,8,5
5,2016-06-01,500,19,65,20,67,20,67,11,7,80,93,8.7,1017,20,68,7,Heavy rain,ENE,71,8,5
6,2016-06-01,600,19,65,20,68,20,68,10,6,71,92,9.3,1018,21,69,7,Heavy rain,ENE,66,8,5
7,2016-06-01,700,18,65,22,72,21,70,10,6,50,86,6.2,1018,22,72,8,Heavy rain,ENE,65,8,5
8,2016-06-01,800,18,65,24,75,22,72,10,6,29,80,3.2,1019,24,75,9,Sunny,ENE,65,9,5
9,2016-06-01,900,18,65,26,78,23,74,10,6,8,74,0.1,1019,25,77,10,Sunny,ENE,64,9,6
10,2016-06-01,1000,18,65,26,80,25,76,11,7,6,68,0.1,1019,26,80,10,Sunny,ENE,76,9,6
11,2016-06-01,1100,18,64,27,81,26,78,12,7,4,63,0.0,1019,28,82,10,Sunny,E,87,10,6
12,2016-06-01,1200,18,64,28,83,27,81,12,8,3,57,0.0,1019,29,84,10,Sunny,E,99,10,6
13,2016-06-01,1300,17,63,28,82,27,80,14,9,4,57,0.0,1019,29,83,10,Sunny,ESE,106,12,7
14,2016-06-01,1400,17,63,28,82,26,80,16,10,5,56,0.0,1019,28,83,10,Sunny,ESE,113,14,8
15,2016-06-01,1500,17,62,27,81,26,79,17,11,6,56,0.0,1019,28,82,10,Sunny,ESE,120,15,9
16,2016-06-01,1600,17,62,27,80,26,78,17,11,6,59,0.0,1019,27,81,10,Sunny,ESE,120,15,9
17,2016-06-01,1700,17,62,26,79,25,77,18,11,5,63,0.0,1019,26,79,10,Clear,ESE,119,15,10
18,2016-06-01,1800,17,62,26,78,24,76,18,11,5,67,0.0,1019,25,77,10,Clear,ESE,119,15,10
19,2016-06-01,1900,17,62,26,78,24,75,16,10,9,74,0.0,1019,24,76,9,Clear,ESE,114,14,9
20,2016-06-01,2000,17,63,26,78,24,74,15,9,14,80,0.0,1020,24,75,8,Clear,ESE,110,12,8
21,2016-06-01,2100,17,63,26,78,23,74,14,9,19,86,0.0,1020,23,74,7,Clear,ESE,105,11,7
22,2016-06-01,2200,17,62,25,77,22,72,13,8,32,89,0.0,1020,22,72,6,Clear,E,100,10,6
23,2016-06-01,2300,16,61,21,70,21,70,12,8,44,91,0.0,1020,21,70,6,Mist,E,94,9,6
24,2016-06-02,0,16,61,20,68,20,68,12,7,56,94,0.0,1021,20,68,5,Mist,E,89,8,5
25,2016-06-02,100,16,60,19,66,19,66,12,7,65,93,0.0,1020,19,66,6,Mist,E,86,8,5
26,2016-06-02,200,15,59,17,63,17,63,11,7,73,93,0.0,1020,17,63,8,Cloudy,E,83,9,5
27,2016-06-02,300,15,59,16,61,16,61,11,7,82,93,0.0,1020,16,61,10,Cloudy,E,81,9,5
28,2016-06-02,400,15,58,16,61,16,61,11,7,88,92,0.0,1020,16,61,9,Cloudy,ENE,78,9,5
29,2016-06-02,500,15,58,16,61,16,61,11,7,94,91,0.0,1020,16,61,8,Overcast,ENE,75,9,6
30,2016-06-02,600,14,58,16,60,16,60,11,7,100,91,0.1,1020,16,61,7,Overcast,ENE,72,9,6
31,2016-06-02,700,14,57,16,61,16,61,11,7,100,88,0.1,1020,16,61,6,Overcast,ENE,74,9,6
32,2016-06-02,800,14,57,16,61,16,61,11,7,100,86,0.1,1021,17,62,6,Light drizzle,ENE,77,9,6
33,2016-06-02,900,13,56,16,61,16,61,11,7,100,83,0.1,1021,17,62,5,Light drizzle,E,80,10,6
34,2016-06-02,1000,13,56,17,63,17,63,11,7,91,79,0.1,1021,18,64,6,Light drizzle,E,85,10,6
35,2016-06-02,1100,13,56,18,65,18,65,12,7,83,74,0.0,1021,19,66,8,Overcast,E,90,10,6
36,2016-06-02,1200,13,56,19,66,19,66,12,7,74,70,0.0,1021,20,68,10,Overcast,E,95,10,6
37,2016-06-02,1300,14,56,20,68,20,68,13,8,55,67,0.0,1020,21,70,10,Overcast,ESE,102,11,7
38,2016-06-02,1400,14,57,23,74,21,70,14,9,35,64,0.0,1020,23,73,10,Sunny,ESE,110,12,8
39,2016-06-02,1500,14,57,25,76,22,71,15,10,16,61,0.0,1019,24,75,10,Sunny,ESE,118,13,8
40,2016-06-02,1600,14,57,24,76,21,71,16,10,23,64,0.0,1019,23,74,10,Sunny,ESE,122,14,9
41,2016-06-02,1700,14,57,24,75,21,70,17,10,30,67,0.0,1019,23,73,10,Clear,SE,125,14,9
42,2016-06-02,1800,14,57,21,69,21,69,17,11,37,69,0.0,1019,22,71,10,Clear,SE,129,15,9
43,2016-06-02,1900,14,57,20,68,20,68,17,10,58,74,0.0,1019,21,69,10,Clear,SE,130,14,9
44,2016-06-02,2000,14,57,19,67,19,67,16,10,79,79,0.0,1019,20,67,10,Overcast,SE,131,13,8
45,2016-06-02,2100,14,57,18,65,18,65,15,9,100,84,0.0,1019,18,65,10,Overcast,SE,132,13,8
46,2016-06-02,2200,14,58,18,64,18,64,14,8,100,86,0.0,1018,18,64,9,Overcast,SE,133,11,7
47,2016-06-02,2300,15,58,17,63,17,63,12,7,100,88,0.0,1018,17,63,8,Overcast,SE,134,10,6
48,2016-06-03,0,15,59,17,62,17,62,10,6,100,90,0.1,1018,17,62,7,Overcast,SE,135,9,6
49,2016-06-03,100,15,60,17,62,17,62,9,6,100,91,0.1,1018,17,62,6,Overcast,SE,134,8,5
50,2016-06-03,200,16,61,17,63,17,63,8,5,100,91,0.1,1018,17,63,6,Light drizzle,SE,132,7,4
51,2016-06-03,300,16,62,18,64,18,64,6,4,100,92,0.2,1017,18,64,5,Light drizzle,SE,131,6,4
52,2016-06-03,400,16,61,18,64,18,64,6,4,100,91,0.2,1017,18,64,6,Light drizzle,SE,130,6,4
53,2016-06-03,500,16,61,18,64,18,64,6,4,100,91,0.3,1017,18,64,6,Overcast,SE,129,6,3
54,2016-06-03,600,16,61,18,64,18,64,6,4,100,91,0.3,1017,18,64,7,Overcast,SE,127,5,3
55,2016-06-03,700,16,61,18,64,18,64,7,4,100,90,0.9,1017,19,65,6,Overcast,SE,132,6,4
56,2016-06-03,800,17,62,18,65,18,65,7,4,100,90,1.5,1017,19,67,5,Light drizzle,SE,137,6,4
57,2016-06-03,900,17,63,19,66,19,66,7,4,100,89,2.1,1017,20,68,4,Light drizzle,SE,142,6,4
58,2016-06-03,1000,18,64,20,67,20,67,7,5,100,90,2.9,1017,20,69,5,Light drizzle,SSE,150,7,4
59,2016-06-03,1100,18,65,20,68,20,68,8,5,100,90,3.8,1017,21,70,6,Moderate rain,SSE,158,7,4
