,Date,Time,DewPointC,DewPointF,FeelsLikeC,FeelsLikeF,WindChillC,WindChillF,WindGustKmph,WindGustMiles,Cloud_Cover,humidity,PrecipMM,Pressure,TempC,TempF,Visibility,WeatherDesc,Wind_Dir_16_Point,Wind_Dir_Degree,WindSpeedKmph,WindSpeedMiles
0,2016-03-01,0,2,36,3,37,3,37,32,20,13,77,0.0,1014,6,43,10,Clear,WSW,246,18,11
1,2016-03-01,100,3,37,3,37,3,37,28,17,14,80,0.0,1015,6,42,10,Clear,WSW,252,16,10
2,2016-03-01,200,3,37,2,36,2,36,24,15,15,84,0.0,1016,5,42,10,Clear,WSW,258,14,9
3,2016-03-01,300,3,38,2,36,2,36,20,12,15,88,0.0,1016,5,41,10,Clear,W,265,12,7
4,2016-03-01,400,2,36,2,35,2,35,19,12,22,88,0.0,1017,4,40,10,Clear,W,280,11,7
5,2016-03-01,500,2,35,1,34,1,34,18,11,28,88,0.0,1018,4,39,10,Partly cloudy,WNW,295,11,7
6,2016-03-01,600,1,34,0,32,0,32,17,11,34,88,0.0,1019,3,38,10,Partly cloudy,NW,310,10,6
7,2016-03-01,700,0,31,-1,31,-1,31,18,11,26,83,0.0,1020,3,37,10,Partly cloudy,NW,322,11,7
8,2016-03-01,800,-2,29,-2,29,-2,29,19,12,19,78,0.0,1021,3,37,10,Sunny,NNW,334,13,8
9,2016-03-01,900,-3,27,-2,28,-2,28,20,12,12,73,0.0,1022,2,36,10,Sunny,NNW,346,14,9
10,2016-03-01,1000,-3,26,-1,31,-1,31,18,11,8,67,0.0,1022,3,38,10,Sunny,NW,318,13,8
11,2016-03-01,1100,-3,26,1,33,1,33,15,9,4,61,0.0,1022,5,40,10,Sunny,WNW,291,12,8
12,2016-03-01,1200,-4,26,2,36,2,36,13,8,0,55,0.0,1022,6,42,10,Sunny,W,263,11,7
13,2016-03-01,1300,-3,27,3,38,3,38,13,8,0,55,0.0,1022,6,44,10,Sunny,SSW,208,12,7
14,2016-03-01,1400,-2,28,4,39,4,39,14,9,0,55,0.0,1021,7,45,10,Sunny,SSE,153,12,7
15,2016-03-01,1500,-1,29,5,41,5,41,14,9,0,55,0.0,1020,8,46,10,Sunny,E,98,12,8
16,2016-03-01,1600,-1,30,3,38,3,38,17,11,6,61,0.0,1019,7,44,10,Sunny,ESE,107,14,9
17,2016-03-01,1700,-1,31,2,35,2,35,20,13,12,66,0.0,1019,6,42,10,Clear,ESE,116,16,10
18,2016-03-01,1800,-1,31,1,33,1,33,23,14,18,72,0.0,1018,5,40,10,Clear,SE,125,18,11
19,2016-03-01,1900,0,33,0,32,0,32,24,15,35,78,0.0,1017,3,38,10,Clear,ESE,120,17,11
20,2016-03-01,2000,1,34,-1,31,-1,31,26,16,52,84,0.0,1016,2,36,10,Partly cloudy,ESE,116,17,11
21,2016-03-01,2100,2,36,-2,29,-2,29,27,17,69,90,0.0,1015,1,34,10,Partly cloudy,ESE,112,17,11
22,2016-03-01,2200,3,38,-1,30,-1,30,30,19,79,91,0.0,1013,1,34,10,Partly cloudy,ESE,115,18,11
23,2016-03-01,2300,4,40,0,32,0,32,32,20,90,91,0.0,1011,1,34,10,Overcast,ESE,118,20,12
24,2016-03-02,0,5,42,0,33,0,33,35,22,100,92,0.0,1009,2,35,10,Overcast,ESE,121,21,13
25,2016-03-02,100,6,43,2,36,2,36,37,23,100,91,0.1,1006,4,40,9,Overcast,SE,136,22,14
26,2016-03-02,200,7,45,4,40,4,40,39,24,100,91,0.2,1004,7,44,8,Patchy rain possible,SSE,151,23,14
27,2016-03-02,300,8,46,6,43,6,43,41,26,100,90,0.3,1001,10,49,7,Patchy rain possible,SSE,166,24,15
28,2016-03-02,400,8,46,7,44,7,44,41,25,100,88,0.5,1000,10,50,6,Patchy rain possible,S,180,24,15
29,2016-03-02,500,8,46,7,45,7,45,41,25,100,85,0.8,999,10,50,5,Light drizzle,SSW,193,24,15
30,2016-03-02,600,8,46,8,46,8,46,40,25,100,82,1.1,999,11,51,4,Light drizzle,SSW,206,24,15
31,2016-03-02,700,6,43,7,44,7,44,41,25,89,78,1.2,999,10,50,6,Light drizzle,SW,221,26,16
32,2016-03-02,800,5,41,6,42,6,42,41,25,78,75,1.3,1000,9,49,8,Light rain,SW,236,28,17
33,2016-03-02,900,3,38,5,40,5,40,41,26,68,71,1.4,1001,9,48,9,Light rain,WSW,250,30,19
34,2016-03-02,1000,1,34,3,37,3,37,41,25,46,65,0.9,1003,8,46,10,Light rain,W,260,32,20
35,2016-03-02,1100,-2,29,0,33,0,33,40,25,24,60,0.5,1005,6,43,10,Sunny,W,271,33,21
36,2016-03-02,1200,-4,24,-2,29,-2,29,40,25,2,55,0.0,1007,5,40,10,Sunny,W,281,35,22
37,2016-03-02,1300,-5,23,-2,29,-2,29,39,24,1,53,0.0,1007,4,40,10,Sunny,WNW,286,33,21
38,2016-03-02,1400,-6,22,-2,28,-2,28,37,23,1,52,0.0,1008,4,39,10,Sunny,WNW,291,32,20
39,2016-03-02,1500,-6,21,-3,28,-3,28,36,22,0,50,0.0,1009,3,38,10,Sunny,WNW,296,31,19
40,2016-03-02,1600,-6,21,-3,27,-3,27,35,22,0,52,0.0,1010,3,37,10,Sunny,WNW,297,29,18
41,2016-03-02,1700,-6,21,-3,26,-3,26,34,21,0,54,0.0,1011,2,36,10,Clear,WNW,298,27,17
42,2016-03-02,1800,-6,21,-4,26,-4,26,33,21,0,56,0.0,1012,2,35,10,Clear,WNW,298,26,16
43,2016-03-02,1900,-6,21,-4,25,-4,25,31,20,0,59,0.0,1013,1,34,10,Clear,WNW,300,23,14
44,2016-03-02,2000,-6,21,-5,24,-5,24,29,18,0,62,0.0,1015,0,33,10,Clear,WNW,301,21,13
45,2016-03-02,2100,-6,21,-5,22,-5,22,27,17,0,66,0.0,1016,0,31,10,Clear,WNW,302,18,11
46,2016-03-02,2200,-6,21,-6,21,-6,21,27,17,0,67,0.0,1017,-1,31,10,Clear,WNW,302,18,11
47,2016-03-02,2300,-6,21,-7,20,-7,20,26,16,0,69,0.0,1018,-1,30,10,Clear,WNW,302,17,11
48,2016-03-03,0,-7,20,-7,19,-7,19,26,16,0,71,0.0,1019,-2,29,10,Clear,WNW,303,17,11
49,2016-03-03,100,-7,19,-8,18,-8,18,26,16,0,71,0.0,1019,-3,28,10,Clear,WNW,303,17,11
50,2016-03-03,200,-7,19,-9,16,-9,16,27,17,0,72,0.0,1020,-3,26,10,Clear,WNW,303,17,11
51,2016-03-03,300,-8,18,-10,15,-10,15,27,17,0,73,0.0,1021,-4,25,10,Clear,WNW,304,18,11
52,2016-03-03,400,-8,18,-10,15,-10,15,26,16,0,74,0.0,1021,-4,25,10,Clear,NW,305,17,11
53,2016-03-03,500,-8,18,-10,15,-10,15,24,15,0,75,0.0,1022,-4,25,10,Clear,NW,306,16,10
54,2016-03-03,600,-8,18,-10,15,-10,15,22,14,0,76,0.0,1022,-4,25,10,Clear,NW,307,15,10
55,2016-03-03,700,-8,17,-10,15,-10,15,21,13,0,73,0.0,1023,-4,25,10,Sunny,NW,307,15,10
56,2016-03-03,800,-9,16,-9,15,-9,15,20,13,0,71,0.0,1023,-3,26,10,Sunny,NW,308,15,9
57,2016-03-03,900,-9,16,-9,15,-9,15,19,12,0,68,0.0,1024,-3,26,10,Sunny,NW,308,15,9
58,2016-03-03,1000,-9,15,-8,18,-8,18,19,12,0,62,0.0,1024,-2,28,10,Sunny,NW,306,15,9
