,Date,Time,DewPointC,DewPointF,FeelsLikeC,FeelsLikeF,WindChillC,WindChillF,WindGustKmph,WindGustMiles,Cloud_Cover,humidity,PrecipMM,Pressure,TempC,TempF,Visibility,WeatherDesc,Wind_Dir_16_Point,Wind_Dir_Degree,WindSpeedKmph,WindSpeedMiles
0,2016-11-01,0,9,48,10,49,10,49,9,5,0,91,0.0,1026,10,51,7,Mist,NNE,11,8,5
1,2016-11-01,100,8,47,8,47,8,47,9,6,11,93,0.0,1026,9,49,5,Mist,NNE,12,7,5
2,2016-11-01,200,8,46,7,45,7,45,10,6,22,95,0.0,1026,8,47,3,Fog,NNE,13,7,4
3,2016-11-01,300,7,44,6,43,6,43,10,6,33,97,0.0,1026,7,45,1,Fog,NNE,14,7,4
4,2016-11-01,400,5,42,4,40,4,40,12,8,56,97,0.0,1027,6,43,1,Fog,NNE,15,7,4
5,2016-11-01,500,4,39,2,36,2,36,14,9,78,98,0.0,1027,4,40,0,Fog,NNE,16,7,5
6,2016-11-01,600,2,36,1,33,1,33,15,10,100,99,0.0,1028,3,37,0,Fog,NNE,17,8,5
7,2016-11-01,700,3,37,1,34,1,34,14,9,97,97,0.0,1028,4,38,1,Fog,NNE,25,7,4
8,2016-11-01,800,3,37,2,36,2,36,13,8,95,95,0.0,1028,4,40,2,Cloudy,NNE,33,7,4
9,2016-11-01,900,3,38,3,37,3,37,12,7,92,92,0.0,1028,5,41,3,Cloudy,NE,41,6,4
10,2016-11-01,1000,4,40,5,42,5,42,11,7,84,86,0.0,1028,7,45,6,Cloudy,ENE,59,7,4
11,2016-11-01,1100,5,42,8,46,8,46,10,6,76,80,0.0,1028,10,49,8,Partly cloudy,ENE,77,7,4
12,2016-11-01,1200,6,44,10,50,10,50,9,5,68,74,0.0,1028,12,53,10,Partly cloudy,E,96,8,5
13,2016-11-01,1300,7,45,11,52,11,52,10,6,58,72,0.0,1028,13,55,10,Partly cloudy,ESE,115,8,5
14,2016-11-01,1400,8,46,12,54,12,54,11,7,48,70,0.0,1027,14,58,10,Sunny,SE,134,9,6
15,2016-11-01,1500,9,47,14,56,14,56,12,8,38,69,0.0,1027,15,60,10,Sunny,SSE,153,10,6
16,2016-11-01,1600,9,48,13,56,13,56,13,8,31,71,0.0,1026,15,59,10,Sunny,SSE,155,10,6
17,2016-11-01,1700,9,49,13,56,13,56,14,9,24,74,0.0,1026,15,58,10,Clear,SSE,158,11,7
18,2016-11-01,1800,10,49,13,55,13,55,14,9,16,76,0.0,1026,14,57,10,Clear,SSE,160,11,7
19,2016-11-01,1900,10,50,13,55,13,55,14,9,25,81,0.0,1026,14,57,10,Clear,SSE,160,10,6
20,2016-11-01,2000,11,51,13,55,13,55,13,8,35,85,0.0,1025,13,56,10,Overcast,SSE,160,9,6
21,2016-11-01,2100,11,52,12,54,12,54,13,8,44,90,0.0,1025,13,55,10,Overcast,SSE,160,8,5
22,2016-11-01,2200,11,52,12,54,12,54,12,8,63,90,0.0,1025,13,55,10,Overcast,SSE,166,8,5
23,2016-11-01,2300,11,52,12,54,12,54,12,8,81,91,0.0,1025,13,55,10,Overcast,S,171,7,5
24,2016-11-02,0,11,52,12,54,12,54,12,7,100,91,0.0,1025,13,55,10,Overcast,S,176,7,4
25,2016-11-02,100,11,52,12,54,12,54,12,7,91,91,0.0,1025,13,55,10,Overcast,S,181,7,5
26,2016-11-02,200,11,53,13,55,13,55,12,7,83,90,0.0,1025,13,55,10,Clear,S,187,7,5
27,2016-11-02,300,12,53,13,55,13,55,12,7,74,90,0.0,1025,13,56,10,Clear,SSW,192,8,5
28,2016-11-02,400,12,53,13,55,13,55,11,7,54,91,0.0,1024,13,56,9,Clear,SSW,195,8,5
29,2016-11-02,500,12,54,13,55,13,55,11,7,34,92,0.0,1024,14,57,8,Mist,SSW,198,8,5
30,2016-11-02,600,12,54,13,56,13,56,11,7,15,92,0.0,1024,14,57,7,Mist,SSW,201,8,5
31,2016-11-02,700,13,55,14,57,14,57,11,7,10,91,0.0,1024,15,58,6,Mist,SSW,204,9,6
32,2016-11-02,800,13,55,14,58,14,58,11,7,5,89,0.0,1023,15,60,6,Sunny,SSW,206,9,6
33,2016-11-02,900,13,55,15,59,15,59,12,7,0,87,0.0,1023,16,61,5,Sunny,SSW,209,10,6
34,2016-11-02,1000,13,55,16,61,16,61,12,8,0,81,0.0,1023,17,63,6,Sunny,SSW,211,11,7
35,2016-11-02,1100,13,55,17,63,17,63,13,8,0,75,0.0,1023,18,65,8,Sunny,SSW,213,12,7
36,2016-11-02,1200,13,55,18,65,18,65,14,9,0,69,0.0,1023,19,67,10,Sunny,SW,215,13,8
37,2016-11-02,1300,13,56,20,67,20,67,14,8,0,68,0.0,1022,21,69,10,Sunny,SSW,212,12,7
38,2016-11-02,1400,14,58,21,69,21,69,13,8,0,67,0.0,1021,22,71,10,Sunny,SSW,208,11,7
39,2016-11-02,1500,15,59,25,77,22,72,12,7,0,65,0.0,1021,23,74,10,Sunny,SSW,205,10,6
40,2016-11-02,1600,16,61,25,77,22,72,10,6,2,68,0.0,1020,23,74,10,Sunny,SSW,203,9,6
41,2016-11-02,1700,17,62,25,77,23,73,9,6,4,71,0.0,1020,23,74,10,Clear,SSW,202,7,5
42,2016-11-02,1800,18,64,26,78,23,74,8,5,7,74,0.0,1020,24,74,10,Clear,SSW,200,6,4
43,2016-11-02,1900,17,63,25,77,22,72,8,5,15,77,0.0,1020,23,73,10,Clear,SSW,208,5,3
44,2016-11-02,2000,17,62,21,70,21,70,8,5,23,80,0.0,1020,22,71,10,Partly cloudy,SW,215,5,3
45,2016-11-02,2100,16,61,21,69,21,69,8,5,32,83,0.0,1020,21,69,10,Partly cloudy,SW,223,5,3
46,2016-11-02,2200,16,60,20,67,20,67,8,5,43,84,0.0,1020,20,67,10,Partly cloudy,SW,234,5,3
47,2016-11-02,2300,16,60,19,66,19,66,8,5,55,85,0.0,1019,19,66,10,Overcast,WSW,246,5,3
48,2016-11-03,0,15,60,18,64,18,64,9,5,67,86,0.0,1019,18,64,10,Overcast,WSW,258,5,3
49,2016-11-03,100,15,59,17,63,17,63,10,6,59,89,0.0,1019,17,63,9,Overcast,WSW,246,5,3
50,2016-11-03,200,15,59,16,61,16,61,11,7,50,92,0.0,1018,16,61,8,Fog,SW,235,6,4
51,2016-11-03,300,15,58,16,60,16,60,13,8,42,94,0.0,1018,16,60,7,Fog,SW,224,6,4
52,2016-11-03,400,14,58,15,59,15,59,13,8,61,96,0.0,1017,15,59,4,Fog,SSW,214,6,4
53,2016-11-03,500,14,57,14,58,14,58,13,8,81,97,0.0,1017,15,58,2,Fog,SSW,204,6,4
54,2016-11-03,600,14,56,14,57,14,57,13,8,100,98,0.0,1016,14,58,0,Fog,SSW,195,6,4
55,2016-11-03,700,13,56,14,57,14,57,14,9,100,96,0.0,1016,15,58,1,Fog,SSW,195,7,4
56,2016-11-03,800,13,56,14,57,14,57,16,10,100,94,0.0,1015,15,59,2,Overcast,SSW,196,8,5
