,Date,Time,DewPointC,DewPointF,FeelsLikeC,FeelsLikeF,WindChillC,WindChillF,WindGustKmph,WindGustMiles,Cloud_Cover,humidity,PrecipMM,Pressure,TempC,TempF,Visibility,WeatherDesc,Wind_Dir_16_Point,Wind_Dir_Degree,WindSpeedKmph,WindSpeedMiles
0,2016-10-01,0,13,56,15,58,15,58,28,18,100,90,0.3,1023,15,59,5,Light drizzle,NNE,29,22,14
1,2016-10-01,100,13,56,14,57,14,57,27,17,100,89,0.2,1023,15,59,6,Light drizzle,NNE,26,21,13
2,2016-10-01,200,13,55,14,57,14,57,26,16,100,89,0.2,1023,15,58,8,Overcast,NNE,23,20,12
3,2016-10-01,300,13,55,13,56,13,56,25,16,100,89,0.1,1023,15,58,10,Overcast,NNE,20,18,11
4,2016-10-01,400,13,55,13,56,13,56,24,15,100,89,0.1,1022,15,58,10,Overcast,NNE,20,18,11
5,2016-10-01,500,13,55,13,56,13,56,23,14,100,88,0.1,1022,15,58,10,Patchy rain possible,NNE,20,18,11
6,2016-10-01,600,13,55,13,56,13,56,22,14,100,88,0.1,1022,15,58,10,Patchy rain possible,NNE,19,17,11
7,2016-10-01,700,13,55,14,56,14,56,22,13,100,88,0.1,1023,15,59,10,Patchy rain possible,NNE,22,17,11
8,2016-10-01,800,13,55,14,57,14,57,21,13,100,87,0.1,1023,15,60,10,Patchy rain possible,NNE,25,17,11
9,2016-10-01,900,13,55,14,58,14,58,20,13,100,86,0.1,1023,16,61,10,Patchy rain possible,NNE,28,17,11
10,2016-10-01,1000,13,55,15,59,15,59,20,13,100,84,0.2,1023,16,61,10,Patchy rain possible,NNE,32,17,11
11,2016-10-01,1100,13,55,16,60,16,60,20,13,100,82,0.2,1022,17,62,10,Overcast,NE,35,17,11
12,2016-10-01,1200,13,55,16,61,16,61,20,13,100,81,0.3,1022,17,63,10,Overcast,NE,39,17,11
13,2016-10-01,1300,13,56,16,62,16,62,20,12,100,81,0.7,1022,17,63,10,Overcast,NE,41,16,10
14,2016-10-01,1400,14,56,17,62,17,62,20,12,100,82,1.1,1021,17,63,9,Light rain shower,NE,43,15,10
15,2016-10-01,1500,14,57,17,62,17,62,19,12,100,83,1.5,1021,18,64,9,Light rain shower,NE,45,15,9
16,2016-10-01,1600,14,58,17,62,17,62,20,12,100,86,1.9,1021,17,63,9,Light rain shower,NE,44,14,9
17,2016-10-01,1700,15,58,17,62,17,62,20,12,100,89,2.3,1020,17,63,8,Moderate or heavy rain shower,NE,43,13,8
18,2016-10-01,1800,15,59,16,62,16,62,20,12,100,92,2.7,1020,17,63,8,Moderate or heavy rain shower,NE,42,13,8
19,2016-10-01,1900,15,59,16,61,16,61,21,13,100,92,2.1,1020,17,62,9,Moderate or heavy rain shower,NE,41,13,8
20,2016-10-01,2000,15,58,16,61,16,61,21,13,100,93,1.5,1020,16,61,9,Light rain shower,NE,39,14,9
21,2016-10-01,2100,15,58,16,60,16,60,22,14,100,93,0.9,1020,16,60,10,Light rain shower,NE,38,15,9
22,2016-10-01,2200,14,58,16,60,16,60,20,12,100,93,0.6,1020,16,60,10,Light rain shower,NE,37,15,9
23,2016-10-01,2300,14,58,15,60,15,60,18,11,100,92,0.4,1020,15,60,10,Overcast,NE,36,14,9
24,2016-10-02,0,14,57,15,60,15,60,16,10,100,92,0.2,1020,15,60,10,Overcast,NE,35,13,8
25,2016-10-02,100,14,57,15,60,15,60,16,10,100,92,0.3,1020,15,60,10,Overcast,NE,39,13,8
26,2016-10-02,200,14,58,16,60,16,60,17,10,100,92,0.4,1020,16,60,10,Light rain shower,NE,42,13,8
27,2016-10-02,300,14,58,16,60,16,60,17,11,100,92,0.5,1019,16,60,10,Light rain shower,NE,45,13,8
28,2016-10-02,400,14,58,16,60,16,60,18,11,100,93,1.0,1019,16,60,10,Light rain shower,NE,47,13,8
29,2016-10-02,500,14,58,15,60,15,60,18,11,100,93,1.6,1019,16,60,9,Light rain shower,NE,48,13,8
30,2016-10-02,600,14,58,15,60,15,60,19,12,100,94,2.1,1019,16,60,9,Light rain shower,NE,50,13,8
31,2016-10-02,700,15,59,16,60,16,60,18,11,100,94,2.9,1019,16,61,9,Light rain shower,NE,51,12,8
32,2016-10-02,800,15,59,16,61,16,61,17,11,100,94,3.8,1019,17,62,8,Moderate rain,NE,52,12,7
33,2016-10-02,900,15,60,16,62,16,62,17,10,100,94,4.6,1019,17,63,8,Moderate rain,NE,52,11,7
34,2016-10-02,1000,16,60,17,62,17,62,16,10,100,93,3.9,1018,17,63,8,Moderate rain,NE,55,11,7
35,2016-10-02,1100,16,61,17,63,17,63,15,9,100,92,3.2,1018,18,64,8,Light rain,ENE,57,11,7
36,2016-10-02,1200,16,61,18,64,18,64,14,9,100,91,2.5,1018,18,64,8,Light rain,ENE,60,10,6
37,2016-10-02,1300,16,61,18,64,18,64,14,9,100,90,2.4,1017,18,65,8,Light rain,NE,55,10,6
38,2016-10-02,1400,16,62,18,65,18,65,15,9,100,90,2.4,1017,19,65,8,Moderate or heavy rain shower,NE,51,10,6
