,Date,Time,DewPointC,DewPointF,FeelsLikeC,FeelsLikeF,WindChillC,WindChillF,WindGustKmph,WindGustMiles,Cloud_Cover,humidity,PrecipMM,Pressure,TempC,TempF,Visibility,WeatherDesc,Wind_Dir_16_Point,Wind_Dir_Degree,WindSpeedKmph,WindSpeedMiles
0,2016-09-01,0,21,69,26,79,24,75,18,11,91,81,0.0,1010,24,75,10,Overcast,S,179,12,8
1,2016-09-01,100,20,68,26,78,23,74,19,12,87,81,0.3,1009,23,74,10,Overcast,SSW,196,12,7
2,2016-09-01,200,19,67,25,77,23,73,20,12,84,81,0.5,1009,23,73,10,Patchy rain possible,SSW,214,12,7
3,2016-09-01,300,19,66,25,76,22,72,21,13,81,82,0.7,1008,22,72,10,Patchy rain possible,SW,231,11,7
4,2016-09-01,400,19,66,25,76,22,71,21,13,86,83,0.9,1008,22,72,10,Patchy rain possible,WSW,256,12,8
5,2016-09-01,500,19,66,22,71,22,71,22,13,91,84,1.2,1008,22,71,10,Light rain shower,WNW,282,13,8
6,2016-09-01,600,19,66,21,71,21,71,22,14,96,85,1.4,1008,22,71,10,Light rain shower,NW,308,14,9
7,2016-09-01,700,19,66,25,76,22,71,20,12,84,83,0.9,1008,23,73,10,Light rain shower,NW,317,13,8
8,2016-09-01,800,19,66,25,76,22,72,18,11,72,82,0.5,1008,23,74,10,Patchy rain possible,NW,326,13,8
9,2016-09-01,900,19,66,25,77,23,73,15,10,60,80,0.1,1008,24,75,10,Patchy rain possible,NNW,335,12,8
10,2016-09-01,1000,19,66,26,79,24,75,13,8,42,75,0.1,1008,25,78,10,Patchy rain possible,NNW,333,11,7
11,2016-09-01,1100,19,67,27,81,25,77,11,7,23,70,0.1,1008,27,80,10,Sunny,NNW,332,9,6
12,2016-09-01,1200,19,67,29,83,27,80,9,5,4,66,0.1,1008,28,83,10,Sunny,NNW,331,8,5
13,2016-09-01,1300,19,67,30,86,28,83,8,5,14,60,0.0,1008,30,86,10,Sunny,NW,317,7,4
14,2016-09-01,1400,19,67,32,89,30,86,7,5,24,54,0.0,1007,31,88,10,Sunny,WNW,303,6,4
15,2016-09-01,1500,19,67,34,92,31,89,7,4,33,49,0.0,1007,32,90,10,Sunny,WNW,289,6,4
16,2016-09-01,1600,19,67,33,91,31,87,7,4,45,49,0.0,1007,32,89,10,Sunny,WNW,293,6,4
