,0
0,Hunters Point-Sunnyside-West Maspeth
1,Carroll Gardens-Columbia Street-Red Hook
2,Turtle Bay-East Midtown
3,park-cemetery-etc-Brooklyn
4,Clinton
5,Gramercy
6,Fort Greene
7,SoHo-TriBeCa-Civic Center-Little Italy
8,Stuyvesant Town-Cooper Village
9,park-cemetery-etc-Manhattan
10,Upper West Side
11,Bedford
12,Chinatown
13,Murray Hill-Kips Bay
14,Yorkville
15,West Village
16,Stuyvesant Heights
17,Williamsburg
18,Greenpoint
19,Battery Park City-Lower Manhattan
20,Hudson Yards-Chelsea-Flatiron-Union Square
21,Clinton Hill
22,Crown Heights North
23,East Williamsburg
24,Queensbridge-Ravenswood-Long Island City
25,East Village
26,Sunset Park West
27,East Harlem South
28,Bushwick South
29,North Side-South Side
30,Lower East Side
31,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
32,Lenox Hill-Roosevelt Island
33,Lincoln Square
34,Midtown-Midtown South
35,Upper East Side-Carnegie Hill
36,Park Slope-Gowanus
37,Brooklyn Heights-Cobble Hill
