,start station id,start station name,start station latitude,start station longitude,start neighborhood,start median income,start borough
0,499,Broadway & W 60 St,40.76915505,-73.98191841,33,113829.0,1
1,3418,Plaza St West & Flatbush Ave,40.67502070000001,-73.97111473,36,99003.0,0
2,297,E 15 St & 3 Ave,40.734232,-73.986923,5,97600.0,1
3,405,Washington St & Gansevoort St,40.739323,-74.008119,15,110912.0,1
4,279,Peck Slip & Front St,40.707873,-74.00166999999998,19,123243.0,1
5,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,6,58869.0,0
6,470,W 20 St & 8 Ave,40.74345335,-74.00004031,20,100734.0,1
7,496,E 16 St & 5 Ave,40.73726186,-73.99238967,20,100734.0,1
9,2004,6 Ave & Broome St,40.724399,-74.004704,7,110790.0,1
10,390,Duffield St & Willoughby St,40.69221589,-73.9842844,31,76775.0,0
11,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,33,113829.0,1
12,79,Franklin St & W Broadway,40.71911552,-74.00666661,7,110790.0,1
13,301,E 2 St & Avenue B,40.72217444,-73.98368779,25,69293.0,1
14,490,8 Ave & W 33 St,40.751551,-73.993934,20,100734.0,1
15,509,9 Ave & W 22 St,40.7454973,-74.00197139,20,100734.0,1
16,511,E 14 St & Avenue B,40.72938685,-73.97772429,8,96624.0,1
17,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,29,56772.0,0
18,3345,Madison Ave & E 99 St,40.78948541553215,-73.9524292945862,27,35760.0,1
19,526,E 33 St & 5 Ave,40.74765947,-73.98490707,34,113844.0,1
20,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,15,110912.0,1
21,3100,Nassau Ave & Newell St,40.724812564400175,-73.94752621650694,18,65004.0,0
22,212,W 16 St & The High Line,40.74334935,-74.00681753,20,100734.0,1
23,3416,7 Ave & Park Pl,40.67761470000001,-73.97324283,Prospect Heights,85310.0,0
24,3263,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,25,69293.0,1
25,127,Barrow St & Hudson St,40.73172428,-74.00674436,15,110912.0,1
26,2008,Little West St & 1 Pl,40.70569254,-74.01677685,19,123243.0,1
27,224,Spruce St & Nassau St,40.71146364,-74.00552427,19,123243.0,1
28,268,Howard St & Centre St,40.71910537,-73.99973337,7,110790.0,1
29,497,E 17 St & Broadway,40.73704984,-73.99009296,20,100734.0,1
30,467,Dean St & 4 Ave,40.68312489,-73.97895137,36,99003.0,0
31,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,25,69293.0,1
32,322,Clinton St & Tillary St,40.696191999999996,-73.991218,37,105126.0,0
33,417,Barclay St & Church St,40.71291224,-74.01020234,7,110790.0,1
34,447,8 Ave & W 52 St,40.76370739,-73.9851615,4,69821.0,1
35,504,1 Ave & E 16 St,40.73221853,-73.98165557,8,96624.0,1
36,379,W 31 St & 7 Ave,40.749156,-73.9916,34,113844.0,1
37,307,Canal St & Rutgers St,40.71427487,-73.98990025,30,31935.0,1
38,500,Broadway & W 51 St,40.76228826,-73.98336183,34,113844.0,1
39,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,31,76775.0,0
40,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,23,47004.0,0
41,382,University Pl & E 14 St,40.73492695,-73.99200509,15,110912.0,1
42,545,E 23 St & 1 Ave,40.736502,-73.97809472,8,96624.0,1
43,461,E 20 St & 2 Ave,40.73587678,-73.98205027,5,97600.0,1
44,217,Old Fulton St,40.70277159,-73.99383605,31,76775.0,0
45,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,6,58869.0,0
46,173,Broadway & W 49 St,40.76068327096592,-73.98452728986742,34,113844.0,1
47,3265,E 2 St & 2 Ave,40.7245634290432,-73.9894437789917,25,69293.0,1
48,347,Greenwich St & W Houston St,40.728846000000004,-74.00859100000002,7,110790.0,1
49,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,31,76775.0,0
50,3103,N 11 St & Wythe Ave,40.72153267,-73.95782357,29,56772.0,0
51,3399,7 St & 3 Ave,40.67260298150126,-73.98983001708984,36,99003.0,0
52,453,W 22 St & 8 Ave,40.74475148,-73.99915362,20,100734.0,1
54,423,W 54 St & 9 Ave,40.76584941,-73.98690506,4,69821.0,1
55,254,W 11 St & 6 Ave,40.73532427,-73.99800419,15,110912.0,1
56,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,15,110912.0,1
57,3260,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,15,110912.0,1
58,345,W 13 St & 6 Ave,40.73649403,-73.99704374,15,110912.0,1
59,337,Old Slip & Front St,40.70379920000001,-74.00838676,19,123243.0,1
60,128,MacDougal St & Prince St,40.72710258,-74.00297088,7,110790.0,1
61,475,E 16 St & Irving Pl,40.73524276,-73.98758561,5,97600.0,1
63,335,Washington Pl & Broadway,40.72903917,-73.99404649,15,110912.0,1
65,151,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,7,110790.0,1
66,3105,N 15 St & Wythe Ave,40.724055,-73.955736,18,65004.0,0
67,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,20,100734.0,1
69,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,2,109966.0,1
70,3288,E 88 St & 1 Ave,40.778301,-73.9488134,14,92921.0,1
71,433,E 13 St & Avenue A,40.72955361,-73.98057249,25,69293.0,1
72,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.94791500000002,11,36282.0,0
73,251,Mott St & Prince St,40.72317958,-73.99480012,7,110790.0,1
74,352,W 56 St & 6 Ave,40.76340613,-73.97722479,34,113844.0,1
75,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,34,113844.0,1
76,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,6,58869.0,0
77,471,Grand St & Havemeyer St,40.71286844,-73.95698119,29,56772.0,0
78,349,Rivington St & Ridge St,40.71850211,-73.98329859,30,31935.0,1
79,3344,Pioneer St & Van Brunt St,40.679043,-74.011169,1,79054.0,0
81,476,E 31 St & 3 Ave,40.74394314,-73.97966069,13,97707.0,1
84,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,4,69821.0,1
85,474,5 Ave & E 29 St,40.7451677,-73.98683077,34,113844.0,1
86,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,11,36282.0,0
87,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,25,69293.0,1
88,466,W 25 St & 6 Ave,40.74395411,-73.99144871,20,100734.0,1
90,3096,Union Ave & N 12 St,40.71924,-73.95241999999998,29,56772.0,0
92,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,15,110912.0,1
93,3401,2 Ave & 9 St,40.6724811,-73.99331394,36,99003.0,0
94,377,6 Ave & Canal St,40.72243797,-74.00566443,7,110790.0,1
95,428,E 3 St & 1 Ave,40.72467721,-73.98783413,25,69293.0,1
97,472,E 32 St & Park Ave,40.74571210000001,-73.98194829,13,97707.0,1
98,3414,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,36,99003.0,0
100,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,32,97507.0,1
102,167,E 39 St & 3 Ave,40.7489006,-73.97604882,13,97707.0,1
103,441,E 52 St & 2 Ave,40.756014,-73.967416,2,109966.0,1
105,507,E 25 St & 2 Ave,40.73912601,-73.97973776,13,97707.0,1
106,368,Carmine St & 6 Ave,40.73038599,-74.00214988,15,110912.0,1
107,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,29,56772.0,0
108,536,1 Ave & E 30 St,40.74144387,-73.97536082,13,97707.0,1
109,247,Perry St & Bleecker St,40.73535398,-74.00483091,15,110912.0,1
111,478,11 Ave & W 41 St,40.76030096,-73.99884222,20,100734.0,1
113,528,2 Ave & E 31 St,40.74290902,-73.97706058,13,97707.0,1
115,266,Avenue D & E 8 St,40.72368361,-73.97574813,30,31935.0,1
116,3373,3 St & 3 Ave,40.675070500000004,-73.98775226,36,99003.0,0
117,477,W 41 St & 8 Ave,40.75640548,-73.9900262,34,113844.0,1
118,304,Broadway & Battery Pl,40.70463334,-74.01361706,19,123243.0,1
121,3167,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,33,113829.0,1
123,3322,12 St & 4 Ave,40.668603000000004,-73.99043940000001,36,99003.0,0
127,527,E 33 St & 2 Ave,40.744023,-73.976056,13,97707.0,1
128,3244,University Pl & E 8 St,40.73143724085228,-73.99490341544151,15,110912.0,1
129,312,Allen St & Stanton St,40.722055,-73.989111,12,34549.0,1
130,116,W 17 St & 8 Ave,40.74177603,-74.00149746,20,100734.0,1
132,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,15,110912.0,1
133,491,E 24 St & Park Ave S,40.74096374,-73.98602213,20,100734.0,1
134,503,E 20 St & Park Ave,40.73827428,-73.98751968,5,97600.0,1
138,3357,W 106 St & Amsterdam Ave,40.80083629999999,-73.9664492472,Morningside Heights,52052.0,1
139,259,South St & Whitehall St,40.70122128,-74.01234218,19,123243.0,1
141,469,Broadway & W 53 St,40.76344058,-73.98268129,34,113844.0,1
142,484,W 44 St & 5 Ave,40.75500254,-73.98014437,34,113844.0,1
143,445,E 10 St & Avenue A,40.72740794,-73.98142006,25,69293.0,1
144,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,37,105126.0,0
145,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,20,100734.0,1
146,3264,E 61 St & Park Ave,40.76421007169064,-73.96910458803177,35,147762.0,1
147,385,E 55 St & 2 Ave,40.75797322,-73.96603308,2,109966.0,1
148,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,10,92971.0,1
150,358,Christopher St & Greenwich St,40.73291553,-74.00711384,15,110912.0,1
151,3078,Broadway & Roebling St,40.70925562,-73.95982218,29,56772.0,0
152,3125,45 Rd & 11 St,40.74708586,-73.94977234,0,58595.0,2
153,479,9 Ave & W 45 St,40.76019252,-73.9912551,4,69821.0,1
158,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,29,56772.0,0
164,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,0,58595.0,2
165,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,Morningside Heights,52052.0,1
166,285,Broadway & E 14 St,40.73454567,-73.99074142,15,110912.0,1
168,253,W 13 St & 5 Ave,40.73543934,-73.99453948,15,110912.0,1
169,2010,Grand St & Greene St,40.72165481,-74.00234737,7,110790.0,1
170,281,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,34,113844.0,1
172,351,Front St & Maiden Ln,40.70530954,-74.00612572,19,123243.0,1
178,303,Mercer St & Spring St,40.72362738,-73.99949601,7,110790.0,1
181,422,W 59 St & 10 Ave,40.770513,-73.988038,33,113829.0,1
184,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,3,0.0,0
186,391,Clark St & Henry St,40.69760127,-73.99344559,37,105126.0,0
188,3428,8 Ave & W 16 St,40.740983,-74.00170200000002,20,100734.0,1
189,72,W 52 St & 11 Ave,40.76727216,-73.99392888,4,69821.0,1
190,384,Fulton St & Washington Ave,40.683048,-73.964915,21,62096.0,0
191,325,E 19 St & 3 Ave,40.73624527,-73.98473765,5,97600.0,1
194,144,Nassau St & Navy St,40.69839895,-73.98068914,31,76775.0,0
195,432,E 7 St & Avenue A,40.72621788,-73.98379855,25,69293.0,1
196,383,Greenwich Ave & Charles St,40.735238,-74.000271,15,110912.0,1
197,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,25,69293.0,1
198,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,2,109966.0,1
201,3084,Devoe St & Leonard St,40.71348658,-73.94792458,23,47004.0,0
202,280,E 10 St & 5 Ave,40.73331967,-73.99510132,15,110912.0,1
205,293,Lafayette St & E 8 St,40.73028666,-73.9907647,15,110912.0,1
206,313,Washington Ave & Park Ave,40.69610226,-73.96751037,3,0.0,0
209,444,Broadway & W 24 St,40.742354299999995,-73.98915076,20,100734.0,1
210,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,28,36561.0,0
211,3131,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,32,97507.0,1
213,3098,Leonard St & Bayard St,40.71928,-73.94861,29,56772.0,0
214,3400,E 110 St & Madison Ave,40.796153499999996,-73.94782145,27,35760.0,1
216,261,Johnson St & Gold St,40.69474881,-73.98362464,31,76775.0,0
217,152,Warren St & Church St,40.71473993,-74.00910627,7,110790.0,1
218,546,E 30 St & Park Ave S,40.74444921,-73.98303529,13,97707.0,1
219,468,Broadway & W 55 St,40.7652654,-73.98192338,34,113844.0,1
221,3335,Union St & 4 Ave,40.6772744,-73.98282002,36,99003.0,0
222,3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,23,47004.0,0
223,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,21,62096.0,0
224,3092,Berry St & N 8 St,40.7190095,-73.95852515,29,56772.0,0
225,3177,W 84 St & Broadway,40.7867947,-73.977112,10,92971.0,1
226,518,E 39 St & 2 Ave,40.74780373,-73.97344190000003,13,97707.0,1
227,3086,Graham Ave & Conselyea St,40.715143,-73.944507,23,47004.0,0
229,328,Watts St & Greenwich St,40.72405549,-74.00965965,7,110790.0,1
231,505,6 Ave & W 33 St,40.74901271,-73.98848395,34,113844.0,1
232,3068,Humboldt St & Varet St,40.7031724,-73.940636,28,36561.0,0
233,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,9,0.0,1
235,457,Broadway & W 58 St,40.76695317,-73.98169333,34,113844.0,1
238,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,16,36250.0,0
240,415,Pearl St & Hanover Square,40.7047177,-74.00926027,19,123243.0,1
242,237,E 11 St & 2 Ave,40.73047309,-73.98672378,25,69293.0,1
243,446,W 24 St & 7 Ave,40.74487634,-73.99529885,20,100734.0,1
245,402,Broadway & E 22 St,40.74034320000001,-73.98955109,20,100734.0,1
249,348,W Broadway & Spring St,40.72490985,-74.00154702,7,110790.0,1
250,3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,11,36282.0,0
251,523,W 38 St & 8 Ave,40.75466591,-73.99138152,34,113844.0,1
255,485,W 37 St & 5 Ave,40.75038009,-73.98338988,34,113844.0,1
256,513,W 56 St & 10 Ave,40.768254,-73.988639,4,69821.0,1
257,540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,13,97707.0,1
262,3226,W 82 St & Central Park West,40.78275,-73.97137,10,92971.0,1
264,434,9 Ave & W 18 St,40.74317449,-74.00366443,20,100734.0,1
265,488,W 39 St & 9 Ave,40.75645824,-73.99372222,4,69821.0,1
267,407,Henry St & Poplar St,40.700469,-73.991454,37,105126.0,0
268,3325,E 95 St & 3 Ave,40.7849032,-73.950503,35,147762.0,1
271,487,E 20 St & FDR Drive,40.73314259,-73.97573881,8,96624.0,1
272,411,E 6 St & Avenue D,40.72228087,-73.97668709,30,31935.0,1
273,320,Leonard St & Church St,40.717571,-74.005549,7,110790.0,1
276,486,Broadway & W 29 St,40.7462009,-73.98855723,34,113844.0,1
277,3163,Central Park West & W 68 St,40.7734066,-73.97782542,9,0.0,1
278,195,Liberty St & Broadway,40.70905623,-74.01043382,19,123243.0,1
280,306,Cliff St & Fulton St,40.70823502,-74.00530063,19,123243.0,1
281,531,Forsyth St & Broome St,40.71893904,-73.99266288,12,34549.0,1
282,493,W 45 St & 6 Ave,40.7568001,-73.98291153,34,113844.0,1
284,482,W 15 St & 7 Ave,40.73935542,-73.99931783,20,100734.0,1
287,3048,Putnam Ave & Nostrand Ave,40.684020000000004,-73.94977,11,36282.0,0
288,3173,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,33,113829.0,1
289,435,W 21 St & 6 Ave,40.74173969,-73.99415556,20,100734.0,1
290,3113,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,18,65004.0,0
292,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,2,109966.0,1
294,3258,W 27 St & 10 Ave,40.75018156325681,-74.00218427181244,20,100734.0,1
295,317,E 6 St & Avenue B,40.72453734,-73.98185424,25,69293.0,1
297,3326,Clinton St & Centre St,40.67434,-74.00194698,1,79054.0,0
300,3396,Clinton St & 4 Place,40.6783563,-74.00014502,1,79054.0,0
301,332,Cherry St,40.71219906,-73.97948148,30,31935.0,1
302,3152,3 Ave & E 71 St,40.76873687,-73.96119945,32,97507.0,1
303,3142,1 Ave & E 62 St,40.761227399999996,-73.96094022,32,97507.0,1
304,372,Franklin Ave & Myrtle Ave,40.69452800000001,-73.958089,11,36282.0,0
305,146,Hudson St & Reade St,40.71625008,-74.0091059,7,110790.0,1
307,330,Reade St & Broadway,40.71450451,-74.00562789,7,110790.0,1
308,357,E 11 St & Broadway,40.73261787,-73.99158043,15,110912.0,1
311,340,Madison St & Clinton St,40.71269042,-73.98776323,30,31935.0,1
313,519,Pershing Square North,40.751872999999996,-73.97770600000003,13,97707.0,1
315,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,18,65004.0,0
316,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,10,92971.0,1
320,394,E 9 St & Avenue C,40.72521311,-73.97768752,30,31935.0,1
323,492,W 33 St & 7 Ave,40.75019995,-73.99093085,34,113844.0,1
325,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,4,69821.0,1
327,3368,5 Ave & 3 St,40.67281550000001,-73.98352355,36,99003.0,0
329,3295,Central Park W & W 96 St,40.791270000000004,-73.964839,9,0.0,1
333,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187,4,69821.0,1
337,427,Bus Slip & State St,40.701907,-74.013942,19,123243.0,1
339,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,6,58869.0,0
340,376,John St & William St,40.70862144,-74.00722156,19,123243.0,1
342,3127,9 St & 44 Rd,40.74966,-73.9521,0,58595.0,2
344,3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,33,113829.0,1
351,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,2,109966.0,1
354,3285,W 87 St  & Amsterdam Ave,40.78839,-73.9747,10,92971.0,1
