,0
0.8235294117647058,Cloudy
0.058823529411764705,Mist
0.0,Overcast
0.5294117647058824,Heavy rain
0.7058823529411765,Patchy rain possible
0.29411764705882354,Light drizzle
0.23529411764705882,Fog
0.4117647058823529,Torrential rain shower
0.5882352941176471,Patchy light rain with thunder
0.11764705882352941,Sunny
0.7647058823529411,Partly cloudy
0.17647058823529413,Clear
0.8823529411764706,Moderate rain
0.47058823529411764,Thundery outbreaks possible
0.9411764705882353,Moderate or heavy rain shower
0.35294117647058826,Light rain shower
0.6470588235294118,Light rain
